"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TheDailyShow: FOR IMMEDIATE RELEASE: Correspondent @RoyWoodJr to deliver ""State of Black Shit"" response to President Trump’s #SOTU toni…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490006104039425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JudeB63",391,TRUE,FALSE,NA,NA
"2","#SOTU https://t.co/lpYKLrzO5X",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005915291648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lovesmilelaugh2",0,FALSE,FALSE,NA,NA
"3","RT @RepRaskin: Joining my colleagues in wearing black to #SOTU in solidarity with victims of sexual harassment and assault. We’re saying #T…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005911015425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","splendidcakes",121,TRUE,FALSE,NA,NA
"4","RT @realJohnnyZipp: Here is a link to some of POTUS's #SOTU excerpts
https://t.co/R5LH9bDlQu https://t.co/NkP7i1u8he",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005709643781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaryGoo26898598",7,TRUE,FALSE,NA,NA
"5","RT @TheDemocrats: The truth about the Trump economy? It's of the 1%, by the 1%, and for the 1%. https://t.co/CK6dIItf3r #SOTU https://t.co/…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005193789441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KianaMereel",515,TRUE,FALSE,NA,NA
"6","RT @StefanMolyneux: If the memo is released after the #SOTU, two moral universes will collide. Millions will suddenly realize they were ser…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005105729538",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Resistmybutt",1290,TRUE,FALSE,NA,NA
"7","RT @dhookstead: Tonight’s designated survivor for the #SOTU is Secretary of Agriculture Sonny Perdue. He will be taken to a secure location…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490004950568960",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dr_crouton",107,TRUE,FALSE,NA,NA
"8","RT @ChrissyUSA1: #MAGA #Patriot #Qanon #TheStormIsHere #GreatAwakening #WeThePeople #PeoplesSOTU #SOTU https://t.co/rQg5aghF9a",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490004891885569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OneInfiniteZer0",3,TRUE,FALSE,NA,NA
"9","RT @WhiteHouse: #SOTU: https://t.co/nJF9j414YL https://t.co/o6H8THKBnk",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490004610863114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blusprk",356,TRUE,FALSE,NA,NA
"10","Now we find out there’s no Factual Inaccuracies in Devin Nunes memo!
We also find out today that McCabe slow walked… https://t.co/CEwdd1rmnK",FALSE,8,NA,2018-01-30 23:59:59,TRUE,NA,"958490004497428480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sob916",5,FALSE,FALSE,NA,NA
