"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @tedlieu: This story on Victor Cha shows the continued chaos of the @realDonaldTrump Administration when it comes to North Korea. Utterl…",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490005919420417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suebarnes999",2322,TRUE,FALSE,NA,NA
"2","@ChrisCuomo @realDonaldTrump is Putin’s Bitch and therefore a traitor to the USA.",FALSE,0,"ChrisCuomo",2018-01-30 23:59:59,FALSE,"958398227522433024","958490005902536705","22799750","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JamusB",0,FALSE,FALSE,NA,NA
"3","@nickshep7777 @Richardfreeusa @kurtcobain8990 @FoxNews @Clyburn @realDonaldTrump Hmmm... I enjoy looking at beautif… https://t.co/cUwsUAd641",FALSE,0,"nickshep7777",2018-01-30 23:59:59,TRUE,"958489322566705152","958490004824604673","387476708","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ramboisdead",0,FALSE,FALSE,NA,NA
"4","RT @VFL2013: The #MAGA Train Will Continue Rolling Down The Tracks..  Tomorrow Night.... @POTUS @realDonaldTrump https://t.co/tVvTzxRn3H",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490003528613888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Konell",838,TRUE,FALSE,NA,NA
"5","@Harlan @realDonaldTrump The psychics are at it again huh? You're talking about the #SOTU address that hasn't even been read yet?",FALSE,0,"Harlan",2018-01-30 23:59:59,FALSE,"958487055373426688","958490002786168832","119099353","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","detachedaz",0,FALSE,FALSE,NA,NA
"6","RT @TheWisemanSaid2: Just for @realDonaldTrump

They're laughing at you.. But also at us for being stuck with you. https://t.co/odW9MAsM8B",FALSE,0,NA,2018-01-30 23:59:59,FALSE,NA,"958490002660446208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","amteve",29,TRUE,FALSE,NA,NA
"7","@Scavino45 @realDonaldTrump @WhiteHouse Best, Potus ever!<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><U+2764><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><U+2764><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,6,"Scavino45",2018-01-30 23:59:59,FALSE,"958469299374579713","958490002245132288","823367015830323201","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ga42Boy",2,FALSE,FALSE,NA,NA
"8","@luv_boxer @FoxNews @realDonaldTrump @IngrahamAngle because its the right thing to do.his private life, like other… https://t.co/tWFoeZXIzg",FALSE,0,"luv_boxer",2018-01-30 23:59:59,TRUE,"958488467289157632","958490001985204224","3280076323","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daytonadestroyr",0,FALSE,FALSE,NA,NA
"9","@realDonaldTrump reference your fake speech, tonight. We will be proud of our country, the moment you and your mini… https://t.co/QGJb5iMhSF",FALSE,0,"realDonaldTrump",2018-01-30 23:59:58,TRUE,NA,"958490001167314944","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fireshieldbrown",0,FALSE,FALSE,NA,NA
"10","RT @EdanClay: Gotta love @realDonaldTrump #SOTU address stealing the them ""New American Moment"" from @HillaryClinton from 2010! 
https://t.…",FALSE,0,NA,2018-01-30 23:59:58,FALSE,NA,"958490001121128448",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Vbarnett323",42,TRUE,FALSE,NA,NA
"11","RT @seanspicer: In #SOTU @POTUS @realDonaldTrump :In our drive to make Washington accountable, we have eliminated more regulations in 1st y…",FALSE,0,NA,2018-01-30 23:59:58,FALSE,NA,"958490000609415168",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LocalMemphis",337,TRUE,FALSE,NA,NA
"12","RT @realDonaldTrump: Notice how @BarackObama failed to mention ObamaCare last night in his SOTU. Even he knows it is terrible.",FALSE,0,NA,2018-01-30 23:59:58,FALSE,NA,"958489999816646656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","galderisi8861",376,TRUE,FALSE,NA,NA
"13","@FoxNews @realDonaldTrump @IngrahamAngle She was disgusting but entitled to her opinion.",FALSE,0,"FoxNews",2018-01-30 23:59:58,FALSE,"958255971108773889","958489999028219904","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chezidamae",0,FALSE,FALSE,NA,NA
"14","I am a far left Liberal, but I don't understand why I would root against @realDonaldTrump . His success is tied to… https://t.co/wN63lBfiBX",FALSE,3,NA,2018-01-30 23:59:58,TRUE,NA,"958489998755553282",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JRRestaino",0,FALSE,FALSE,NA,NA
"15","RT @TravisAllen02: BREAKING: Low ratings @realDonaldTrump is THE MOST UNPOPULAR PRESIDENT OF ALL TIME at their first State of the Union!

R…",FALSE,0,NA,2018-01-30 23:59:58,FALSE,NA,"958489998679883776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ksquared3",924,TRUE,FALSE,NA,NA
"16","RT @MakeMNRed: Minnesota's @PeteHegseth has some advice for @realDonaldTrump 
https://t.co/dxHEypeGML",FALSE,0,NA,2018-01-30 23:59:58,FALSE,NA,"958489998189301760",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Chrissygreen12",1,TRUE,FALSE,NA,NA
"17","Ouch! Poor @realDonaldTrump, he’s lagging behind Obama’s “ratings” by more than 20 points! #Losing… https://t.co/FfRoMI1Tmx",FALSE,1,NA,2018-01-30 23:59:58,TRUE,NA,"958489997887328256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ENG1375",2,FALSE,FALSE,NA,NA
"18","RT @tedlieu: THIS IS NOT ACCEPTABLE. @realDonaldTrump is thwarting the bipartisan will of Congress. 

Also, what does Putin have over Trump…",FALSE,0,NA,2018-01-30 23:59:57,FALSE,NA,"958489997555924993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inquietoboydf",15698,TRUE,FALSE,NA,NA
